English	Swedish
be	vara
begin	börja
break	bryta
buy	köpa
close	stänga
come	komma
cut	skära
dance	dansa
do	använda
draw	rita
drink	dricka
eat	äta
fall	falla
feel	känna
find	finna
fire	skjuta
fly	flyga
follow	följa
forget	glömma
get	få
give	ge
have	ha
hear	höra
help	hjälpa
hope	hoppas
jump	skutta
kiss	kyssa
laugh	skratta
learn	lära sig
lie	ligga
lie	ljuga
like	tycka om
listen	lyssna
look	se
lose	förlora
love	älska
make	göra
meet	möta
move	röra
need	behöva
offer	erbjuda
open	öppna
pay	betala
play	leka
pull	dra
push	tränga sig fram
put	lägga
read	läsa
remember	erinra sig
run	springa
say	säga
sell	sälja
sing	sjunga
sit	sitta
smile	le
swim	simma
take	ta
talk	tala
understand	förstå
use	ägna
wait	vänta
write	skriva
accept	motta
accuse	anklaga
achieve	vinna
act	handla
add	förena
add	addera
admit	erkänna
affect	beveka
agree	komma överens
allow	medge
announce	tillkännage
argue	gräla
arrive	anlända
ask	begära
attack	attackera
avoid	undvika
be	leva
bear	bära
beat	övervinna
become	bli
believe	tro
bite	bita
bring	skänka
build	bygga
burn	förbränna
call	ringa
carry	bära
change	växla
choose	välja
classify	klassa
clean	tvätta
compare	likna vid
contain	rymma
continue	fortsätta
control	kontrollera
cook	laga mat
copy	kopiera
cough	hosta
crush	krossa
crush	krossa
cry	gråta
decide	avgöra
describe	skildra
design	formge
desire	vilja
develop	framkalla
die	dö
discover	upptäcka
discuss	diskutera
divide	dividera
doubt	betvivla
drive	köra
embrace	inbegripa
encourage	stödja
end	sluta
enhance	förbättra
enjoy	åtnjuta
enter	komma in
establish	inrätta
estimate	uppskatta
exceed	passera
exist	existera
expect	invänta
explain	förklara
fight	kämpa mot
fill	fylla
find	upptäcka
finish	avsluta
flush	utjämna
forgive	förlåta
free	befria
give	up avstå
grow	växa
happen	hända
hate	hata
hide	dölja
hold	avhålla
identify	identifiera
include	innefatta
increase	öka
injure	skada
introduce	presentera
join	förena
keep	ha
kick	sparka
kill	döda
land	landa
last	vara
lead	leda
leave	lämna
let	tillåta
lift	lyfta
limit	begränsa
load	ladda
look	se ut
lose	tappa
manage	leda
marry	gifta sig med
match	matcha
mean	betyda
mean	ämna
measure	mäta
mention	nämna
miss	missa
miss	missa
name	kalla
own	äga
pass	on överlämna
peel	skala
plan	planera
plow	plöja
poison	förgifta
polish	putsa
prepare	fixa
press	trycka
prevent	hindra
print	trycka
process	behandla
profit	utnyttja
protest	protestera
prove	bevisa
publish	publicera
raise	uppfostra
rate	uppskatta
reach	anlända
receive	ta emot
record	spela in
reduce	skära ner
reflect	reflektera
refuse	avböja
remove	avlägsna
render	returnera
replace	ersätta
reply	svara
report	rapportera
represent	representera
request	anmoda
respect	ära
reveal	yppa
risk	chansa
rule	styra
save	spara
save	bärga
see	se
see	räkna
send	skicka
serve	tjäna
sew	sy
share	dela
shout	ropa
show	visa
smell	stinka
smell	lukta
smell	vädra
smoke	ryka
spend	tillbringa
stand	ligga
stay	förbli
steal	stjäla
stop	stanna
study	studera
suffer	lida
suggest	föreslå
supply	förse
support	stödja
surprise	överraska
taste	smaka
teach	undervisa
test	pröva
thank	tacka
throw	kasta
title	kalla
trade	idka handel
train	utbilda
travel	åka
treat	behandla
try	försöka
turn	snurra
visit	besöka
walk	promenera
warm	värma
wash	tvätta
watch	betrakta
wear	vara klädd i
weigh	väga
win	vinna
wish	önska