English	Latin
bad	malus
beautiful	pulcher
best	optimus, (m)
better	melius
big	grandis
clean	mundus
cold	frigidus
correct	emendatus
dark	obscurus
difficult	acer
dirty	sordidus
fast	firmus
good	bonus
great	grandis
happy	felix
healthy	saluber
heavy	ponderosus
high	alte
hot	calidus
important	gravis
left	sinister
light	levis
long	longus
new	novus
nice	bonus
open	patens
right	dexter (m), dextra (f)
sharp	acutus
similar	similis
slow	lentus
soft	malacus
strong	pollens
weak	debilis
acid	acidus
all	totus
any	quisquis
bitter	amarus
boring	molestus
bright	candidus
broken	fractus (m), fracta (f)
certain	certus
cheap	vilis
clear	clarus
closed	clausus
common	communis
common	communis
complete	expletus
cruel	barbarus
current	amnis
dangerous	acutus
deplorable	lacrimabilis
different	dissimilis
down	deorsum
dry	siccus
each	omnis
easy	facilis
equal	aequus
even	campester
every	omnis
excellent	egregius
fake	falsus
false	falsus
fat	nitidus
fat	pinguis
firm	pervicax
flat	planus
following	posterus
foreign	allophylus
former	antiquus
fragile	fragilis
free	eripio
frequent	celeber
fresh	recens
full	plenus
full	plenus
future	posterus
general	dux
last	ultimus
late	sero
legal	legalis
liquid	liquidus
low	humilis
lucky	fortunatus
main	cardinalis
many	multi
military	militaris
more	magis
narrow	angustus
natural	naturalis
necessary	necessarius
no	nullus
opposite	contrarietas
original	archetypus
other	alius
parallel	parallelos
personal	personalis
physical	corporeus
poor	inops
possible	possibilis
present	praesens
private	privatus
probable	probabilis
public	publicus
quiet	quies quietis
ready	promptus
recent	recens
regular	ordinarius
rigid	rigidus
rough	crudus
round	rotundus
same	idem
second	secundus
secret	latens
separate	separatus
serious	serius
short	brevis
silent	quietus
silver	argenteus
simple	simplex
single	simplex
small	parvus
smooth	teres
solid	firmus
sparse	tenuis
special	specialis
square	quadratus
straight	rectus
strange	alienus
sudden	subitus
thick	creber
tight	angustus
true	verus
ugly	turpis
unusual	insolitus
usual	vulgaris
various	multiplex
warm	vapor
wet	humens
whole	integer
wide	latus